Code,Name
AN,ANDAMAN & NICOBAR ISLANDS (UT)
AP,ANDHRA PRADESH
AR,ARUNACHAL PRADESH
AS,ASSAM
BH,BIHAR
CH,CHANDIGARH (UT)
CG,CHHATTISGARH
DN,DADRA & NAGAR HAVELI (UT)
DD,DAMAN & DIU (UT)
DL,DELHI (NCT)
GO,GOA
GJ,GUJARAT
HR,HARYANA
HP,HIMACHAL PRADESH
JK,JAMMU & KASHMIR
JR,JHARKHAND
KR,KARNATAKA
KL,KERALA
LD,LAKSHADWEEP (UT)
MP,MADHYA PRADESH
MH,MAHARASTRA
MN,MANIPUR
MG,MEGHALAYA
MZ,MIZORAM
NL,NAGALAND
OR,ODISHA
PO,PUDUCHERRY (UT)
PB,PUNJAB
RJ,RAJASTHAN
SK,SIKKIM
TN,TAMIL NADU
TR,TRIPURA
UP,UTTAR PRADESH
UR,UTTARAKHAND
WB,WEST BENGAL
NB,NEPAL/BHUTAN
